Method,ROC-AUC,BEDROC,EF@1%,EF@5%,EF@10%,Youden J,Threshold,Sensitivity,Specificity,Time (ms/mol)
Reference Alignment,0.8974594594594595,0.8496718228593129,7.756756756756757,7.756756756756757,5.8515884305357995,0.6578378378378378,0.4231760144167865,0.8378378378378378,0.8200000000000001,319.1819631264185
Pharm2D Tanimoto,0.8577432432432432,0.7120262417722406,7.756756756756757,6.925675675675676,4.082503556187767,0.5964324324324324,0.23894736842105263,0.9324324324324325,0.6639999999999999,14.846023782205084
Color Weighted (0.3/0.7),0.3855945945945946,0.01825878762023546,0.0,0.0,0.13608345187292556,0.0044864864864865295,0.18976165327022465,0.9864864864864865,0.018000000000000016,18.112892888564264
Shape Only,0.33835135135135136,0.023241415366875615,0.0,0.0,0.2721669037458511,0.018972972972973068,0.4569976721761436,0.972972972972973,0.04600000000000004,17.579788114966416
Combo (shape+color),0.32810810810810814,0.0038032663208210447,0.0,0.0,0.0,0.006000000000000005,0.2308341635588876,1.0,0.006000000000000005,13.493657112121582
