n_features,consensus_time,screening_time,time_per_mol_ms,roc_auc,bedroc,rie,ef_1,ef_5,ef_10,youden_j,optimal_threshold,sensitivity,specificity,tolerance,threshold,linkage
2,0.03100442886352539,45.04215216636658,78.6075954037811,0.5504251746736717,0.13423890354102472,0.9609096318913557,1.5486486486486488,1.1061776061776063,0.8150782361308677,0.18049612738991497,0.4741633862604809,0.36486486486486486,0.8156312625250501,0.8,0.5,average
4,0.020849227905273438,46.957465410232544,81.95020141401841,0.5721172073877485,0.2352960130624596,1.6842970226888583,1.5486486486486488,2.765444015444016,1.3584637268847795,0.1964740291393598,0.49116397640836285,0.4189189189189189,0.7775551102204409,1.0,0.5,average
5,0.02192234992980957,46.42302894592285,81.01750252342558,0.5306017440285977,0.17064182737487543,1.221489181556627,0.0,1.382722007722008,1.2226173541963017,0.13183123002762281,0.47941482674804126,0.43243243243243246,0.6993987975951903,1.2,0.5,average
5,0.021258831024169922,44.91720628738403,78.38953976855852,0.5339598115149218,0.17549529941024872,1.256231323782975,0.0,1.382722007722008,1.2226173541963017,0.14185127010778315,0.4784311104284852,0.43243243243243246,0.7094188376753507,1.4,0.5,average
7,0.01948690414428711,44.77644729614258,78.14388707878287,0.4561013919731355,0.0287311507700297,0.2056636294344038,0.0,0.0,0.13584637268847796,0.06496777338460702,0.5654312304855715,0.6621621621621622,0.40280561122244485,1.6,0.5,average
7,0.02053236961364746,45.985472440719604,80.2538786050953,0.4561013919731355,0.0287311507700297,0.2056636294344038,0.0,0.0,0.13584637268847796,0.06496777338460702,0.5654312304855715,0.6621621621621622,0.40280561122244485,1.8,0.5,average
8,0.020845413208007812,46.79816794395447,81.67219536466747,0.4548285760710611,0.01862463895306823,0.13331915760102736,0.0,0.0,0.13584637268847796,0.06342414558847431,0.561446434384052,0.7027027027027027,0.36072144288577157,2.0,0.5,average
9,0.02222609519958496,45.881409883499146,80.07226855759014,0.477333044467313,0.026357724092453256,0.18867415744503285,0.0,0.0,0.2716927453769559,0.10545415154633597,0.5622977814920134,0.7567567567567568,0.3486973947895792,2.2,0.5,average
10,0.021072864532470703,46.46879458427429,81.0973727474246,0.4633591507339002,0.021387721501162815,0.15309786574427087,0.0,0.0,0.13584637268847796,0.11994258787845957,0.5530089155967197,0.7972972972972973,0.3226452905811623,2.5,0.5,average
