run_id,timestamp,tolerance,threshold,linkage,n_features,consensus_time,screening_time,time_per_mol_ms,roc_auc,bedroc,rie,ef_1,ef_5,ef_10,youden_j,optimal_threshold,sensitivity,specificity,experiment_id,run_order,tolerance_coded,threshold_coded
1,2026-01-26T17:45:47.082215,0.8,0.45,complete,1,0.0366208553314209,47.04690098762512,82.10628444611714,0.5861994258787846,0.12162029859253441,0.8705830853235784,0.0,0.5530888030888031,0.9509246088193457,0.25499647944537723,0.05686149402288964,0.5135135135135135,0.7414829659318638,CCD_001,1,-1.8973665961010275,0.0
2,2026-01-26T17:46:50.105715,0.8,0.6,complete,1,0.0365753173828125,46.639872789382935,81.39593855040651,0.5861994258787846,0.12162029859253441,0.8705830853235784,0.0,0.5530888030888031,0.9509246088193457,0.25499647944537723,0.05686149402288964,0.5135135135135135,0.7414829659318638,CCD_002,2,-1.0,1.0
3,2026-01-26T17:47:53.879286,1.15,0.45,complete,3,0.036873817443847656,47.21526074409485,82.40010601063673,0.5730108866381411,0.17369351157627264,1.243333759166661,0.0,1.1061776061776063,1.3584637268847795,0.18696853165791044,0.4690084491766602,0.40540540540540543,0.781563126252505,CCD_003,3,0.0,0.0
4,2026-01-26T17:48:58.304710,1.5,0.45,complete,5,0.0362553596496582,48.17132830619812,84.06863578743128,0.5339598115149218,0.17549529941024872,1.256231323782975,0.0,1.382722007722008,1.2226173541963017,0.14185127010778315,0.4784311104284865,0.43243243243243246,0.7094188376753507,CCD_004,4,1.8973665961010275,0.0
5,2026-01-26T17:50:01.207660,1.15,0.45,complete,3,0.04953432083129883,46.54644417762756,81.23288687195037,0.5730108866381411,0.17369351157627264,1.243333759166661,0.0,1.1061776061776063,1.3584637268847795,0.18696853165791044,0.4690084491766602,0.40540540540540543,0.781563126252505,CCD_005,5,0.0,0.0
6,2026-01-26T17:51:05.612521,1.5,0.6,complete,5,0.03805899620056152,48.20187735557556,84.12195000973047,0.5339598115149218,0.17549529941024872,1.256231323782975,0.0,1.382722007722008,1.2226173541963017,0.14185127010778315,0.4784311104284865,0.43243243243243246,0.7094188376753507,CCD_006,6,1.0,1.0
7,2026-01-26T17:52:09.161082,1.15,0.45,complete,3,0.037574052810668945,47.39726638793945,82.71774238732888,0.5730108866381411,0.17369351157627264,1.243333759166661,0.0,1.1061776061776063,1.3584637268847795,0.18696853165791044,0.4690084491766602,0.40540540540540543,0.781563126252505,CCD_007,7,0.0,0.0
8,2026-01-26T17:53:12.666247,1.15,0.45,complete,3,0.03612041473388672,47.22931241989136,82.424629005046,0.5730108866381411,0.17369351157627264,1.243333759166661,0.0,1.1061776061776063,1.3584637268847795,0.18696853165791044,0.4690084491766602,0.40540540540540543,0.781563126252505,CCD_008,8,0.0,0.0
9,2026-01-26T17:54:16.357581,1.15,0.6,complete,3,0.03506326675415039,47.47166085243225,82.84757565869502,0.5730108866381411,0.17369351157627264,1.243333759166661,0.0,1.1061776061776063,1.3584637268847795,0.18696853165791044,0.4690084491766602,0.40540540540540543,0.781563126252505,CCD_009,9,0.0,1.8973665961010275
10,2026-01-26T17:55:20.348939,1.15,0.45,complete,3,0.0362401008605957,47.7040319442749,83.2531098503925,0.5730108866381411,0.17369351157627264,1.243333759166661,0.0,1.1061776061776063,1.3584637268847795,0.18696853165791044,0.4690084491766602,0.40540540540540543,0.781563126252505,CCD_010,10,0.0,0.0
11,2026-01-26T17:56:27.370926,1.5,0.30000000000000004,complete,13,0.03576993942260742,50.60640549659729,88.31833419999526,0.7233927314087635,0.29152661242348643,2.0868071157182375,3.0972972972972976,2.2123552123552126,2.037695590327169,0.40914260954341114,0.6334739657295317,0.6756756756756757,0.7334669338677355,CCD_011,11,1.0,-1.0
12,2026-01-26T17:57:34.250643,1.15,0.3,complete,13,0.03803706169128418,50.67137813568115,88.43172449508054,0.5094513351026376,0.03297624623179163,0.23605088812716243,0.0,0.0,0.2716927453769559,0.14472187618480203,0.6451267043066944,0.5675675675675675,0.5771543086172345,CCD_012,12,0.0,-1.8973665961010275
13,2026-01-26T17:58:38.148741,1.15,0.45,complete,3,0.03585672378540039,47.78182864189148,83.38888070138128,0.5730108866381411,0.17369351157627264,1.243333759166661,0.0,1.1061776061776063,1.3584637268847795,0.18696853165791044,0.4690084491766602,0.40540540540540543,0.781563126252505,CCD_013,13,0.0,0.0
14,2026-01-26T17:59:44.058093,0.8,0.30000000000000004,complete,8,0.036702871322631836,49.37041258811951,86.16127851329756,0.44532307858961157,0.07464266782157859,0.5343076277117399,0.0,0.5530888030888031,0.40753911806543386,0.00690570329848883,0.5820690638596264,0.6081081081081081,0.3987975951903807,CCD_014,14,-1.0,-1.0
