run_id,timestamp,tolerance,threshold,min_samples,roc_auc,bedroc,rie,ef_1,ef_5,ef_10,youden_j,optimal_threshold,sensitivity,specificity,n_features,consensus_time,screening_time,total_time
1,2026-01-26T20:43:13.172134,1.6186171947440933,0.26834347898661637,3,0.7472512592753073,0.4103145246527023,2.9371152067838042,1.5486486486486488,3.3185328185328187,2.716927453769559,0.4542598710935385,0.6861957172554675,0.6486486486486487,0.8056112224448898,13,0.055109500885009766,45.23452568054199,45.289635181427
2,2026-01-26T20:44:13.168301,1.5387400631785948,0.2945832752853591,1,0.7472512592753073,0.4103145246527023,2.9371152067838042,1.5486486486486488,3.3185328185328187,2.716927453769559,0.4542598710935385,0.6861957172554675,0.6486486486486487,0.8056112224448898,13,0.04053854942321777,44.77394509315491,44.814483642578125
3,2026-01-26T20:45:12.180678,1.483699556786347,0.2833708611139022,1,0.7267237177056816,0.3905165936432811,2.7953975807413096,1.5486486486486488,3.3185328185328187,2.581081081081081,0.4121757027568651,0.6755403830183179,0.6486486486486487,0.7635270541082164,12,0.040842533111572266,44.45616316795349,44.49700570106506
4,2026-01-26T20:46:12.193501,1.5603553891795412,0.25564115790271,3,0.7472512592753073,0.4103145246527023,2.9371152067838042,1.5486486486486488,3.3185328185328187,2.716927453769559,0.4542598710935385,0.6861957172554675,0.6486486486486487,0.8056112224448898,13,0.039895057678222656,45.45000433921814,45.48989939689636
5,2026-01-26T20:47:12.420563,1.6754210836063002,0.2500778765841014,4,0.7456805502897688,0.3981452076687247,2.8500047550549223,1.5486486486486488,3.041988416988417,2.581081081081081,0.43874234956399283,0.6873294181948617,0.6351351351351351,0.8036072144288577,13,0.04024076461791992,45.37797784805298,45.4182186126709
6,2026-01-26T20:48:12.652233,1.3000746112682653,0.3040812282482435,4,0.7289172940475545,0.3958929274510068,2.8338824741213458,1.5486486486486488,3.041988416988417,2.716927453769559,0.43221578291718576,0.6844603561194537,0.6486486486486487,0.7835671342685371,12,0.04113340377807617,45.506901025772095,45.54803442955017
7,2026-01-26T20:49:12.218701,1.387925499509812,0.26610984836365253,2,0.7289172940475545,0.3958929274510068,2.8338824741213458,1.5486486486486488,3.041988416988417,2.716927453769559,0.43221578291718576,0.6844603561194537,0.6486486486486487,0.7835671342685371,12,0.0410463809967041,44.27834701538086,44.31939339637756
8,2026-01-26T20:50:11.344481,1.7,0.3460915819183239,1,0.7456805502897688,0.3981452076687247,2.8500047550549223,1.5486486486486488,3.041988416988417,2.581081081081081,0.43874234956399283,0.6873294181948617,0.6351351351351351,0.8036072144288577,13,0.039867401123046875,44.552241802215576,44.59210920333862
9,2026-01-26T20:51:12.165487,1.5875320221718625,0.3442586309077406,2,0.7472512592753073,0.4103145246527023,2.9371152067838042,1.5486486486486488,3.3185328185328187,2.716927453769559,0.4542598710935385,0.6861957172554675,0.6486486486486487,0.8056112224448898,13,0.0401461124420166,45.79191517829895,45.83206129074097
10,2026-01-26T20:52:12.360861,1.34436426303143,0.335434706408806,1,0.7289172940475545,0.3958929274510068,2.8338824741213458,1.5486486486486488,3.041988416988417,2.716927453769559,0.43221578291718576,0.6844603561194537,0.6486486486486487,0.7835671342685371,12,0.040599822998046875,45.054776191711426,45.09537601470947
11,2026-01-26T20:53:13.334337,1.6449230032222606,0.3399705398094737,1,0.7472512592753073,0.4103145246527023,2.9371152067838042,1.5486486486486488,3.3185328185328187,2.716927453769559,0.4542598710935385,0.6861957172554675,0.6486486486486487,0.8056112224448898,13,0.040172576904296875,46.3918662071228,46.4320387840271
12,2026-01-26T20:54:15.069252,1.4328686599747393,0.3249730908743526,4,0.7267237177056816,0.3905165936432811,2.7953975807413096,1.5486486486486488,3.3185328185328187,2.581081081081081,0.4121757027568651,0.6755403830183179,0.6486486486486487,0.7635270541082164,12,0.041730403900146484,46.46274542808533,46.504475831985474
13,2026-01-26T20:55:14.870532,1.5198425880096504,0.34172108931229245,4,0.7267237177056816,0.3905165936432811,2.7953975807413096,1.5486486486486488,3.3185328185328187,2.581081081081081,0.4121757027568651,0.6755403830183179,0.6486486486486487,0.7635270541082164,12,0.04145097732543945,44.554304361343384,44.59575533866882
