run_id,timestamp,algorithm,tolerance,threshold,linkage,n_features,consensus_time,screening_time,total_time,time_per_mol_ms,roc_auc,bedroc,rie,ef_1,ef_5,ef_10,youden_j,optimal_threshold,sensitivity,specificity,replicate
1,2026-01-26T19:04:35.510632,hierarchical,1.5,0.3,complete,13,0.03006148338317871,46.85711669921875,46.88717818260193,81.77507277350567,0.7233927314087635,0.29152661242348643,2.0868071157182375,3.0972972972972976,2.2123552123552126,2.037695590327169,0.40914260954341114,0.6334739657295317,0.6756756756756757,0.7334669338677355,1
2,2026-01-26T19:05:36.552179,hierarchical,1.5,0.3,complete,13,0.020145416259765625,46.253527879714966,46.27367329597473,80.72168914435422,0.7233927314087635,0.29152661242348643,2.0868071157182375,3.0972972972972976,2.2123552123552126,2.037695590327169,0.40914260954341114,0.6334739657295317,0.6756756756756757,0.7334669338677355,2
3,2026-01-26T19:06:37.993789,hierarchical,1.5,0.3,complete,13,0.01998615264892578,46.47074365615845,46.49072980880737,81.10077426903743,0.7233927314087635,0.29152661242348643,2.0868071157182375,3.0972972972972976,2.2123552123552126,2.037695590327169,0.40914260954341114,0.6334739657295317,0.6756756756756757,0.7334669338677355,3
4,2026-01-26T19:07:39.861904,kmeans,1.5,0.3,complete,7,0.06921505928039551,46.18780589103699,46.25702095031738,80.60699108383417,0.630450089367925,0.32105228335647984,2.298157887167261,1.5486486486486488,2.4888996138996142,2.309388335704125,0.24784704544223585,0.6200793370588066,0.6486486486486487,0.5991983967935872,1
5,2026-01-26T19:08:41.620097,kmeans,1.5,0.3,complete,7,0.035056114196777344,45.98814415931702,46.023200273513794,80.25854129025657,0.630450089367925,0.32105228335647984,2.298157887167261,1.5486486486486488,2.4888996138996142,2.309388335704125,0.24784704544223585,0.6200793370588066,0.6486486486486487,0.5991983967935872,2
6,2026-01-26T19:09:43.994389,kmeans,1.5,0.3,complete,7,0.03433537483215332,47.22104024887085,47.255375623703,82.41019240640638,0.630450089367925,0.32105228335647984,2.298157887167261,1.5486486486486488,2.4888996138996142,2.309388335704125,0.24784704544223585,0.6200793370588066,0.6486486486486487,0.5991983967935872,3
7,2026-01-26T19:10:47.854277,dbscan,1.5,0.3,complete,12,0.03258061408996582,48.094072341918945,48.12665295600891,83.93380862464039,0.7629041867518822,0.4329512279605866,3.0991533436322993,3.0972972972972976,3.3185328185328187,2.988620199146515,0.4581595623679792,0.6286674764137594,0.7567567567567568,0.7014028056112225,1
8,2026-01-26T19:11:49.855907,dbscan,1.5,0.3,complete,12,0.02343463897705078,46.97802138328552,47.00145602226257,81.98607571254018,0.7629041867518822,0.4329512279605866,3.0991533436322993,3.0972972972972976,3.3185328185328187,2.988620199146515,0.4581595623679792,0.6286674764137594,0.7567567567567568,0.7014028056112225,2
9,2026-01-26T19:12:52.520993,dbscan,1.5,0.3,complete,12,0.02310037612915039,46.938616037368774,46.961716413497925,81.91730547533818,0.7629041867518822,0.4329512279605866,3.0991533436322993,3.0972972972972976,3.3185328185328187,2.988620199146515,0.4581595623679792,0.6286674764137594,0.7567567567567568,0.7014028056112225,3
10,2026-01-26T19:13:55.146764,grid,1.5,0.3,complete,14,0.01946258544921875,47.09746170043945,47.11692428588867,82.19452303741615,0.723636462113416,0.3910856672031841,2.7994711252907183,3.0972972972972976,2.765444015444016,2.716927453769559,0.4422899853761577,0.6954894185338617,0.5945945945945946,0.8476953907815631,1
11,2026-01-26T19:14:56.766788,grid,1.5,0.3,complete,14,0.01966238021850586,46.34833073616028,46.367993116378784,80.88713915560258,0.723636462113416,0.3910856672031841,2.7994711252907183,3.0972972972972976,2.765444015444016,2.716927453769559,0.4422899853761577,0.6954894185338617,0.5945945945945946,0.8476953907815631,2
12,2026-01-26T19:15:58.178748,grid,1.5,0.3,complete,14,0.0193936824798584,46.22762441635132,46.24701809883118,80.67648240200928,0.723636462113416,0.3910856672031841,2.7994711252907183,3.0972972972972976,2.765444015444016,2.716927453769559,0.4422899853761577,0.6954894185338617,0.5945945945945946,0.8476953907815631,3
