config,max_align_iters,use_weights,auc,time
Baseline (Phase 3),50,False,0.7893333333333333,16.408767223358154
Feature Weights,50,True,0.7893333333333333,16.909295797348022
Alignment Tries=100,100,False,0.7893333333333333,16.825054168701172
Alignment Tries=300,300,False,0.7886666666666666,16.771312475204468
Combined (weights+300),300,True,0.7886666666666666,17.44766330718994
